Job,Skills/Keywords
Senior Data Scientist,"Data Analysis, Keras, Prototype, data mining, Data Science PyTorch, AWS, SPSS, Solution Development, Technical leadership, Sql, MySQL Object Oriented program, Research, Computer science, PySpark, Stores, r, OpenCV, Senior Data Scientist, Venture capital, HTML, C++, Scrum, Telecom, predictive modeling, statistical analysis, Testing, tensorflow, Analytical skills, Mathematics, Deep Learning, django, Shell scripting, Bioinformatics, neural networks, Training, Maven, pytorch, D3 js, scala, Analytical, SageMaker, Statistical analysis, deep learning, Product engineering, RDBMS, data analyst, verbal communication, Docker, Genomics, Coding, analytical, Business intelligence, Customer Experience, Django, spark, Statistical modeling, Data quality, Management consulting, Automation, Debugging, Asset management, Pytorch, Claims, MySQL, Consulting, Billing, HTTP, data visualization, Neural networks, teaching, SAS, python, logistic regression, aws, Programming, Outsourcing, machine learning libraries, Kubernetes, algorithms, gcp, Product planning, customer analytics, SAN, Salesforce.com, SCALA, Quality standards, Business process, MongoDB, Gaming, Deployment, quality improvement, Writing, Data management, GIT, Service, microsoft, Hive, Tensorflow, Network management, DevOps, model development, Relationship management, git, Data analytics, R, Customer engagement, Inspection, database knowledge, Tensor Flow, Ticketing, Natural Language Processing, Team management, PDF, Hibernate, Finance, Quest, Apache, MS SQL, Data Science, Simulation, mining, Advanced Analytics, Ruby, Statistics, Procurement, big data, SaaS deployment, PowerPoint, data analysis, Speech Recognition, PyTorch, Flask, business analytics, Cloud computing, Data processing, Data structures, Google AdWords, machine learning, Financial Services, Project management, Presales, Angularjs, Data collection, programming, Product management, Text mining, Workflow, Azure, Flex, Git, Agile, Agile scrum, Content Creation, Algorithm, data science, Social media, Statistical Programming, agile, Life sciences, science, MLT, Pharma, Troubleshooting, SQL, Operations research, SMS, analysis, Workflow management, data integration, Computer vision, Perl, Distribution system, Manager Technology, Predictive Modeling, nlp, TensorFlow, bigdata, Information Retrieval, Data Collection, Assurance, Java, Communication Skills, Infrastructure, statistical modeling, Talent acquisition, GLM, Bfsi, Open Source, Tableau, Google Analytics, Hadoop, Forecasting, Operations Research, Bidding, Product Management, time series, Healthcare, Power BI, Staffing, Cloud, Marketing analytics, data analytics, data domain, Information technology, computer vision, Sklearn, statistics, IT Skills, Networking, Transfer learning, Predictive modeling, Javascript, Customer support, Business banking, Db2, NLP, Machine Learning ML, Data Analyst, Machine Learning, g Python query language Python, Neural Networks, AI, text analytics, US healthcare, Deep learning, Customer Segmentation, Monitoring, Unix, verbal, rest, Trade, Information retrieval, Contract management, Mining, Python, BPO, performance measurement, Data Mining, Mathematics and Science background, OOPS, BiqQuery, Data Structures, Supply chain, Open source, Graphics, GCP, github, Linux, sql, java, Data Analytics, Spark, Algorithms, predictive analytics, Time, Social networking, Consultancy, E - Commerce, advanced analytics, Financial services, Gunicorn, written, Project Management, Data Scientist, Nlp, Machine learning, Web analytics, Data Visualization, Solid Programming, Campaign planning, big data analytics, Scala, Artificial Intelligence, Computer Vision, analytics, Big Data, BI, Data analysis, PHP, Senior, Management, Computer Vision stack, Cash flow, Data mining, Analytics, presentation, Julia, Business understanding, SDS, Computer Science, Version control, Data Management"
Applied Data Scientist / ML Senior Engineer (Python / SQL),"SAP, Python, Product Management, Testing, Cloud, Cloud computing, IT Skills, NLP"
Data Scientist,"Prototype, SDLC, level, Computer science, r, Advanced Excel, Pyspark, Microsoft, R Shiny, HVAC, data Science, Demand Forecasting, tensorflow, Regression, Business Analytics, Financial statements, Shell scripting, R & D, Business strategy, Microstrategy, WPS, ERP, Training, XGBOOST, Lambda, html, MIN, Excel, MATlab, deep learning, Internship, Aviation, Business analysis, MatLab, Revenue Management, Alteryx, verbal communication, communication, object - oriented programming, Process optimization, data structures, Consumer insights, Administration, Statistical programming, Data Pre, Mobile technology, Information management, QlikView, Machin learning, Asset management, DATA SCIENTIST, content marketing, SAS, Industry research, Programming, skills, algorithms, micro services, Data modelling, Production support, cisco, Redshift, doctor, MongoDB, front end, Databricks, Kubernetes microservices, Statistical Modeling, Data process anaylst, model development, arima, C / C++, R, Hospitality, Python And R, Postgres, Solution architecture, r programming, Data Anlalytics, Telephony support, mining, Predictive Analytics, MATLAB, Packaging, Pivotal, Help Desk, data analysis, data cleansing, Data structures, Data processing, Google AdWords, software architecture, Biochemistry, Project management, Image processing, Impala, R programming, Maria DB, Periscope, Data APIs, programming, Product management, Azure, Application development, Data Wrangling, Git, quality, Customer Acquisition, Technical, Agile scrum, Agriculture, Data Modelling, nearest neighbors, Vision, operations research, Lstm, Stock market, Cuda, Life sciences, Bigtable, Computer languages, RF, Android Development, Focus, No - SQL, Architecture, scipy, Java, pyspark, JMP, Scipy, Infrastructure, GLM, Condition monitoring, ML Algorithm, Storyboarding, Hadoop, Forecasting, ML, Delivery management, process improvement, Image Segmentation, linux, data analytics, Quantitative Analysis, Regression Analysis, Exploratory Data Analysis, Shell scripts, jupyter, SAS Base, OO, Market research, Neural Networks, text analytics, AWS big data, Teradata, Data modeling, Freight, modeling, Spacy, ASP, Graph, Windows, K - means, Statistical Analyses, LightGBM., matplotlib, Data Analytics, Medical, predictive analytics, Graphana, SOC, Project Management, MMX, Budgeting, Financial services, Artificial intelligence, Nlp, data transformation, Insurance claims, Artificial Intelligence, development, Scikit-learn, Legal compliance, GGplot, Senior, Plotly, JavaScript, Process automation, Business understanding, Travel management, Data Analysis, Keras, keras, Project Leading, Algebra, Sql, PySpark, Relationship Executive, OpenCV, Azure data, Access, financial transaction data, PowerShell, Data Quality, Telecom, predictive modeling, Credit risk, Analytical skills, visualization, AI OPS, Organic synthesis, Credit cards, Wellness, Underwriting, Scrapy, Deep Learning Model, MS Office, logistics, Analytical, ML Ops, Natural language processing, Retail marketing, FastAPI, TFServe, Ci / Cd, Cosmos, Stock exchange, analytical, Customer Experience, Django, manipulation, Service engineering, Graph DB, Marketing Analytics, Business Opportunity, Automation, LSA, Market intelligence, CUAD, it, data management, Pytorch, Head Business Development, Fixed income, Consulting, linear logistic regression, Kafka Event Bus, Financial advisory, Billing, Electrical engineering, data visualization, artificial intelligence, data modeling, Network analysis, SAS Enterprise Miner, machine learning libraries, CSS, Machine Learning algorithms, Python Data science, flask, cassandra, FA, implementation skills, Business process, Calculus, Deployment, statistical programming, CUDA, Risk Analytics, html5, Text Analytics, Tensorflow, Strategic Thinking, DevOps, Agile methodology, git, Database Architect, Cloud formation, Image Processing, Ticketing, Natural Language Processing, Health insurance, Time Series Forecasting, Time Series, Customer Profiling, Finance, Simulation, Credit underwriting, DS Modelling, Pig, big data, Stakeholder management, ETL, machine learning, RESTful micro, Aws, MlFLow, Taxation, Decission trees, Data collection, linear regression, Autodesk, Project planning, structures, TextBlob, Text Mining, data science, Social media, Product support, sql database, Business transformation, Formulation, laravel, SQL, deep AI, Operations research, Market Data, SMS, Risk management, Perl, TQM, HTML Canvas, Azure IOT, jQuery, bigdata, -, VMware, Accounting, Data scientist, trend analysis, MIS, statistical modeling, Operations Research, IBM Watson, Cloud, R Program, Data Services, Statistical Tools, LINUX, ML Libraries &application, testing, supply chain management, Networking, Mentor, machine - learning, Linear Programming, Policies, Routing, Equity, Data Analyst, Machine Learning, Naive Bayes, Business Process, EDA Deep SQL, AI, Azure Databricks, API, Deep learning, Production, JIRA, Merchandising, Risk assessment, Monitoring, verbal, data visualisation, Training and Development, rest, Information retrieval, Python, Analytical Skills, Investment Strategies, power bi, Graphics, Bert, Pentaho, github, Azure ML, Spark, Jenkins, stattools, Consultancy, consumer marketing, solutions, Theano, C, Manager Quality Assurance, NLP Python/R PySpark Cloud /Azure AWS GCP Data Scientist Data Science, GitLab, remediation, DATA ANALYTICS, Big Data, PHP, Data analysis, J2EE, Random Forest, Minitab, Postgresql, Management, Science, Node.js, Caffe, SLQ, Data mining, Retail, MS Excel, PCA, Dimensionality Reduction, Data Management, presentation, AWS, Interpersonal skills, Solar energy, Research, Process design, PowerBI, sports prediction, Gephi, HTML, Application support, Scrum, C/C++, statistical analysis, Pandas, IT services, Business solutions, Software Engineering, Deep Learning, Time series analysis, Bioinformatics, Executive, Quantitative Analyst, numpy, REST, Process improvement, scala, Performance tuning, Statistical analysis, Probability, Product engineering, Seaborn API, Tableau analytics, Data Cleansing, Data Manipulation, Apache Kafka, Scikit, Hyperparameter tuning, cluster analysis, CAD, Sensors, SAS model, azure, KDB, Statistic Modelling, pytest, Management consulting, Debugging, Back office, Medical insurance, Pattern Recognition, Content management, Data Engineering, Investment management, Azure Machine Learning, HTTP, RESTful, Web technologies, Data Science libraries, python, aws, Logistic Regression, access controls, LDA, Cnn, VoTT, Water treatment, Science libraries, Kafka, customer analytics, SAN, Model Building, SQL Server, Sales operations, ARIMAX, Business analytics, Vendor, Regression modeling, Information, MATLABAbout, Business Solutions, Subject Matter Expert, communications, GIT, Decision models, Python skills, Optimization, CPG, Data analytics, Advisory, project management, Agent based modeling, Business objects, Software Development, Apache, Data Science, Agile development, Business services, Polaris, MACHINE LEARNING, Factor analysis, Statistics, Decision Trees, NPV, Procurement, PostgreSQL, Business Intelligence, PowerPoint, enterprise business, Clinical research, Modification, E-commerce, non linear optimization, predictive modelling, Financial Services, Scripting, Credit card domain, Sustainable development, Aerospace, c, Cluster analysis, Assistant Vice President, Azure Devops, Agile, Business excellence, analytics models, Algorithm, Qlik Sense, SVM, Business system, HR, Google Colab, Data science, clustering, Pharma, web technologies, Solution design, analysis, Problem Solving, Assurance, Unstructured Data, software, relational database management, Azure DevOps, Tableau, Customer Service, Sas, Bidding, Sql Querying, Healthcare, Power BI, Staffing, NumPy, Information technology, Python programming, AWS SNS, IT Skills, Supervision, chatbots, Lucene, Data Modeling, Matplotlib, NLP, SAP, Transformers, data manipulation, image processing, scikit, Unix, node.js, NLTK, Bayesian Networks, Backend, Data Mining, Advanced git, Mining, BPO, Vendor Management, Home appliances, Data Structures, Supply chain, technical, OOP, neo4j, sql, Linux, Recruitment, Business Optimization, CNN, Core Java, analyzing data, engineering, Social networking, advanced analytics, Machine learning, Data Visualization, Web analytics, Time Series Analysis, Scala, Computer Vision, Individual Contributor, Software configuration management, Clustering, Design development, building DS solutions, Rnn, Software design, Pattern recognition, Apache Spark, Virtualization, Business Executive, Data Operations, Software services, pandas, IPO, Principal, data mining, Change Delivery, Matlab, Medical imaging, MODS, Design Development, SPSS, Entrepreneur, Map Reduce, Predictive ModelingStatistical Analysis, Team Management, Econometrics, unit testing, System programming, C++, data, Bsc, Oracle, Tools, customer segmentation, Testing, metadata, data modelling, SAS SQL, Mathematics, Numpy, data scientist, query, bash, pytorch, NoSQL, Learning, Ml Algorithms, RDBMS, Hypothesis Testing, Informatica. Data Science/ Data management.Business analysis Workflow Power BI/Tableau or any other data visualization tools.Oracle 10/11G- SQL PL/SQL or similar RDBMS., Operations, zyputer, customer relationship, Manager Quality Control, Salesforce, Business intelligence, Coding, spark, Actuarial, XML, Statistical modeling, Data quality, Middle level management, Claims, MySQL, BeautifulSoup, Product sales, R Programming, Asset Management, Elastic search, Strategic planning, Neural networks, Cassandra, Stanford NLP, PLSQL, logistic regression, debt investment, quantitative analysis, DS, Product Development, GAM, Reinforcement Learning, Risk analytics, General Statistics, Diversity and Inclusion, SCALA, RapidMiner, wind energy, LSTM, Front end, Customer Centric, cloud, Bayesian, Data management, microsoft, Hive, administration, Team Building, decision tree, Notebook, System architecture, XGBoost, Coding Analyst, PySpark Cloud / Azure /AWS /GCP / Data Scientist / Data Science, MxNET, Snowflake, Gitlab, FMCG, PDF, Team management, Key Skills, database, C + +, Saving, Facility management, Advanced Analytics, Supply chain management, Ruby, exploratory data analysis, Clinical trials, hive, CI / CD, PyTorch, Cloud computing, HBase, NumPy stack, Graph DBs, neural network NLP, Cartography, Genetics, Account management, Statistical Analysis, Scikit Learn, Logistic regression, RDBMS/PLSQL/Stored procedures Oracle-10/11G SAP HANA Data warehouse, Text mining, Workflow, Multivariate Analysis, Flex, random forest, web development, Statistical Analyst, Predictive analytics, Continuous improvement, data forecasting, Advanced Python, Statistical Programming, written communication, scikit-learn, C - NN, google cloud, Workflow management, Computer vision, classification, Distribution system, TensorFlow, Predictive Modeling, nlp, Manager Technology, Renewable energy, css, problem solving, regression, Communication Skills, Scikit-Learn, learning, informatics, Google Analytics, Customer service, Scripting Languages, SAS model development, Weka, computer vision, Marketing analytics, risk modeling, NLP/Python/R, Product Management, Breeding, Web tools, machine -, Machin Learning, GitHub, Qlikview, Opencv, Predictive modeling, Javascript, DS algo, Executive search, Product design, Qualitative research, Application programming, Devops, Hadoop Administration, OOPS, Macros, Python C, ensemble, Open source, rice, Logistics, GCP, Engineering Manager, German, Revenue Generation, Data architecture, Signal processing, revenue generation, RESTFul APIs, sas, Database management, Pricing, propensity analysis, SQL No SQL, MLP, Algorithms, Usage, Decision Tree, E - Commerce, written, management, Data Scientist, big data analytics, Design engineering, Software Development Lifecycle, Business Intelligence Reporting, analytics, Fraud analytics, MS SQL Server, Natural Language, Enterprise software, BI, IFRS, digital content, Linear Regression, Analytics, API Gateway, semiconductor, Optimization Techniques, Customer experience, Data Developer, Bloomberg, ggplot, KNN, Power Bi, Computer Science, Six Sigma"
Principal Data Scientist,"Principal, Prototype, Matlab, AWS, MapReduce, Team Management, Research, Computer science, Econometrics, Oracle, Testing, Analytical skills, Deep Learning, digital analytics, D3 js, NoSQL, deep learning, Natural language processing, Engineering services, Scikit, Statistical modeling, object - oriented, Airflow, Business planning, Pytorch, MySQL, Neural networks, Cassandra, Display advertising, R libraries, SAN, Cook, Gaming, Hive, Tensorflow, oral communication, R, S3, Natural Language Processing, Data Science, MATLAB, big data, data analysis, HBase, Data processing, machine learning, Deep Learning modeling, Telecommunication, Azure, data science, MLT, Troubleshooting, SQL, Operations research, Computer vision, Creating Data Architectures, Java, Decision Tree Learning, Open Source, Tableau, Hadoop, Forecasting, Operations Research, Cloud, NumPy, Business Objects, IT Skills, NLP, Machine Learning, Product design, Neural Networks, image processing, scikit, French, Unix, Python, Career development, NLU, Supply chain, Open source, Shell, Spark, Big Data tech stacks, Jenkins, Algorithms, Distributed training, written, Data Scientist, Machine learning, Web analytics, Solid Programming, Scala, Artificial Intelligence, Big Data, Deep Learning Frameworks, Data analysis, Data mining, CouchDB, Analytics"
Expert Data Scientist,"Python, Testing, team lead, aws, MLT, IT Skills, machine learning, Data Science"
Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,"Python, data mining, Data analysis, Machine Learning, GCP, Azure, SQL, Tableau"
Senior Data Scientist - Machine Learning,"Open Source, Big Data, Python, Machine Learning, Cloud, Java, Data Scientist, Machine learning, IT Skills, Azure, Software Development, Data Science, NLP"
Data Scientist / Senior Data Scientist,"Python, Time series forecasting, Machine Learning, un- supervised learning, R, Sql, IT services, RNN, Computer science, supervised learning, IT Skills, SQL, Data Science, CNN"
Sr Data Scientist,"Presales, data visualization, Machine Learning, Neural networks, SAS, Interpersonal skills, linear regression, Xgboost, Logistic regression, Computer science, Logistic Regression, C++, Technical Lead, Scrum, Agile, Data Mining, Python, Continuous improvement, SCALA, data science, Supply chain, Open source, Bioinformatics, SQL, Intellectual property, Computer vision, Analytical, Predictive Modeling, deep learning, Financial services, MIS, Machine learning, Artificial Intelligence, Tableau, Simulation, Coding, AZURE, Actuarial, Administration, Data analysis, Statistics, Healthcare, Data mining, Analytics, Data structures, Predictive modeling, IT Skills, Project management"
Lead Python Data Scientist,"NoSQL, Python, Algorithms, AWS, CI / CD, Azure, Data Science, Data Structure"
