Skill,Count
Python,2119
management,1828
analysis,1594
science,1478
IT Skills,1460
Cloud,1161
SQL,1089
Data,1074
Analyst,1037
Analytical,951
Java,942
Science,895
learning,894
Big Data,890
Management,887
Analytics,885
Learning,793
Machine Learning,715
AWS,705
Data analysis,689
Agile,682
Testing,668
Machine learning,666
Spark,617
analytics,617
Consulting,614
modeling,562
Analysis,561
Tableau,560
Data Science,555
Azure,537
Data management,532
Development,521
Excel,480
Hadoop,469
Coding,446
communication,444
Computer science,427
development,416
services,406
Automation,385
Javascript,381
skills,359
Software Development,355
mining,351
intelligence,351
ETL,338
Data modeling,338
BI,336
design,336
Oracle,335
Data Analysis,330
MySQL,329
Data Analyst,317
Artificial Intelligence,317
data,317
data science,314
Linux,312
R,308
quality,305
Engineering,304
research,298
Hive,295
Business intelligence,294
structures,283
Data Analytics,280
DevOps,277
SAS,263
Power BI,263
Data quality,262
NoSQL,253
Modeling,246
processing,244
Data collection,237
Business Analyst,232
Project management,232
analytical,231
HTML,231
Data structures,228
Data mining,224
Data Management,223
Architecture,220
python,213
Assurance,211
SCALA,210
Scala,206
process,204
spark,204
Project Management,204
testing,204
GCP,203
Healthcare,199
Operations,192
Quality Assurance,191
data analysis,191
Business analysis,184
RDBMS,182
Kafka,182
SAP,179
Scientist,178
Data Factory,176
Technology,175
Informatica,173
tuning,173
support,171
planning,169
Programming,169
engineering,168
scripting,168
big data,167
Data analytics,166
visualization,165
Research,165
Manager Technology,163
architecture,161
Data processing,160
Engineer,158
Workflow,155
C++,153
Data Scientist,152
BPO,151
SAN,148
Visualization,148
Backend,148
data visualization,147
Mining,147
Data Warehousing,145
Finance,145
Databricks,140
Data Engineering,140
Interpersonal skills,139
machine learning,138
Debugging,137
Troubleshooting,136
Data Visualization,134
security,133
operations,129
Jenkins,127
written,125
GIT,125
migration,124
reporting,122
Data Engineer,122
Data Modeling,121
project management,121
Scrum,119
MIS,119
XML,119
Networking,118
Data Mining,117
SQL Server,116
data analytics,115
Manager Quality Assurance,114
SSIS,113
Office,111
Application development,109
data management,108
Process improvement,108
programming,106
warehousing,106
Product Management,106
MS SQL,103
Front end,103
Database,102
Bi,102
MongoDB,101
sql,101
Apache,100
Teradata,100
PySpark,99
Data migration,99
Business Intelligence,97
Customer service,97
Communication,95
Open source,94
microsoft,92
metadata,92
Business process,92
power bi,91
Database design,89
Pyspark,88
Statistics,87
Pharma,86
Airflow,86
Algorithms,86
written communication,85
MS Office,84
Monitoring,84
Azure Data Factory,84
S3,84
Performance tuning,84
Market research,82
Redshift,82
Shell scripting,82
Change management,82
SQL queries,82
Unix,81
Glue,80
Publishing,80
NLP,79
data mining,79
Google Analytics,79
Django,79
modelling,78
HDFS,78
verbal,78
Quality,78
Business analytics,78
Forecasting,77
CD,76
analyst,76
Operations research,76
Lambda,75
Lake,75
SSRS,74
Postgresql,74
Snowflake,74
Salesforce,73
Data Structures,73
administration,73
validation,73
governance,73
Scheduling,73
Computer Science,73
Power Bi,73
CSS,72
Analytical skills,72
Time management,71
EMR,71
Azure Databricks,71
deep learning,71
Banking,70
Data warehousing,70
Data Lake,70
Design,69
API,69
Billing,68
Financial services,68
Integration,68
Diversity and Inclusion,68
Selenium,67
marketing,67
Cloud computing,67
Architect,66
excel,66
Data Quality,66
PHP,65
Cassandra,65
Tools,65
Sales,64
data governance,63
Reconciliation,63
Advanced Excel,63
JSON,63
Aws,62
integration,62
Senior Analyst,62
tools,61
Infrastructure,61
Perl,61
Natural Language Processing,61
Pipeline,61
Administration,60
Schema,60
J2EE,60
engineer,60
ERP,59
hadoop,59
Reporting,59
Docker,59
OLAP,58
Usage,57
Supply chain,56
scala,56
Data validation,56
data integrity,56
JIRA,56
Risk management,56
Asset management,55
Manager,55
Accounting,55
Prototype,55
warehouse,55
Compliance,54
factory,54
Information security,54
SPSS,54
C,53
Modelling,53
Scripting,53
technology,53
Core Java,53
PDF,53
Apache Spark,52
Regression,52
Social media,52
writing,52
PLSQL,51
Predictive modeling,51
Marketing,51
data security,51
consulting,51
QlikView,50
regression,50
Deployment,50
big data analytics,50
pyspark,50
Warehouse,50
HTTP,49
cause analysis,49
Predictive Modeling,49
Basic,49
hive,49
shell scripting,48
Staffing,48
Datastage,48
Windows,48
Product engineering,48
Lead,48
Communication Skills,48
SDLC,48
networks,47
Kubernetes,47
Information technology,47
Pandas,47
Deep Learning,46
Training,46
CI / CD,46
Software design,46
APIs,45
data structures,45
automation,45
java,45
Stored procedures,45
data engineering,45
software,45
banking,44
E-commerce,44
data modeling,44
Claims,44
tableau,44
Production support,43
Macros,43
VBA,42
cassandra,42
data factory,42
Hibernate,41
market data,41
Web technologies,41
Research Analyst,41
PowerBI,41
Simulation,41
Data Pipeline,40
framework,40
Maven,40
Web analytics,40
data cleansing,40
life cycle,40
Tensorflow,39
HP data protector,39
verbal communication,39
Statistical Modeling,39
Neural Networks,39
Support,39
Elastic Search,39
Cloud Services,39
Continuous improvement,39
algorithms,39
Sqoop,39
Service,39
insurance,39
Fixed income,38
Engineering services,38
Developer,38
business analysis,38
C#,38
Unix shell scripting,38
database,38
Cognos,38
Talend,37
troubleshooting,37
Neural networks,37
Test planning,37
Performance management,37
Customer support,37
Problem Solving,37
solutions,36
cloud,36
ML,36
SSAS,36
JavaScript,36
Enterprise applications,36
SOC,36
Business Analytics,35
Version control,35
Business Analysis,35
Statistical analysis,35
data engineer,35
Digital Marketing,35
agile,35
Git,35
Executive,35
Shell Scripting,35
Wellness,35
optimization,34
Configuration management,34
azure,34
Validation,34
Due diligence,34
Logistic Regression,34
Alteryx,34
Collection,34
Team management,34
Master data management,34
aws,34
ADF,33
Vision,33
Storage,33
Query,33
Azure Data Lake,33
Data Warehouse,33
Access,33
Planning,33
Root cause analysis,32
MapReduce,32
Data Collection,32
Supply chain management,32
MATLAB,32
Strategy,31
Product management,31
Powerpoint,31
data lake,31
Financial analysis,31
Program Management,31
Framework,31
Sales operations,31
BigQuery,31
presentation,31
software development,31
jQuery,31
Data Architect,30
Management consulting,30
Manager Quality Control,30
Unit testing,30
Natural language processing,30
debugging,30
Application programming,30
SMS,30
Bigquery,30
Athena,30
Db2,30
Quality Control,30
AI,30
Postgres,29
Distribution system,29
advanced analytics,29
MS Access,29
IT services,29
Capital market,29
data services,29
Computer vision,29
PostgreSQL,29
Test scripts,29
Risk assessment,29
Node.js,29
HR,29
SOA,29
Keras,29
data modelling,29
Advanced Analytics,29
Digital marketing,29
Succession planning,28
Analytical Skills,28
data warehousing,28
Azure SQL,28
Test cases,28
System design,27
Statistical modeling,27
frameworks,27
VLOOKUP,27
azure data factory,27
Software Engineering,27
Data Bricks,26
Audit,26
Computer Vision,26
Word,26
level,26
monitoring,26
Data Architecture,26
Migration,26
Payroll,26
Web services,26
Flask,26
Synapse,26
Logistic regression,26
Web development,26
Business Development,26
PowerPoint,25
Stakeholder management,25
Data warehouse,25
communications,25
REST,25
Software development life cycle,25
Numpy,25
TDD,25
Multithreading,25
Data Extraction,25
System integration,25
Cloudera,25
databricks,25
Financial reporting,25
Flex,24
EC2,24
Financial planning,24
Investment banking,24
Packaging,24
CRM,24
Kinesis,24
Big data,24
compliance,24
AWS Glue,24
Customer experience,24
Sql,24
Bfsi,24
Operational excellence,24
accounting,24
Master Data Management,24
data warehouse,24
databases,24
Procurement,24
etl,24
Security,24
Life sciences,24
mapping,24
Text mining,24
Financial Services,24
Talent acquisition,23
Dashboards,23
finance,23
r,23
MS Excel,23
github,23
PL / SQL,23
MDM,23
Technical Lead,23
Presales,23
Bigdata,23
kafka,23
Oozie,23
orchestration,23
Relationship,23
data analyst,23
Consultancy,23
EDC,23
Agile methodology,23
HRIS,23
server,22
Market Research,22
Reports,22
sales,22
query,22
building,22
numpy,22
Pharmacy,22
Business strategy,22
data reporting,22
French,22
Business administration,22
Actuarial,22
Business reporting,22
predictive modeling,22
Design development,22
HBase,21
Data Integration,21
JS,21
Translation,21
Ruby,21
web services,21
devops,21
Primary research,21
Data Modelling,21
Pig,21
Customer Service,21
Devops,21
Eclipse,21
Data architecture,21
Web Services,21
RDS,21
System architecture,21
Market intelligence,21
VMware,21
Bloomberg,20
Stored Procedures,20
Business Data Analyst,20
Visio,20
Pytorch,20
Issue resolution,20
Governance,20
Data Manipulation,20
SQL Database,20
Microsoft Azure,20
Platform,20
Product Analyst,20
Etl,20
Performance Testing,20
Clinical trials,20
Boot,20
Internal Audit,20
business rules,20
test driven development,20
Active directory,19
DBA,19
Adobe,19
Image processing,19
Azure Data,19
model development,19
Testing tools,19
Report writing,19
Equity,19
PyTorch,19
Focus,19
Dataflow,19
J2Ee,19
Research Analysis,19
Business objects,19
Powershell,19
Visual Basic,19
Information management,19
Technical writing,19
Cosmos,19
Business services,18
Telecom,18
Solution architecture,18
ISO,18
Hbase,18
scrum,18
Data Governance,18
CI,18
Nlp,18
Mathematics,18
Jira,18
Individual Contributor,18
Analysis Services,18
pandas,18
Big Data Analytics,18
Project planning,18
Functional testing,18
AdWords,18
Automation testing,18
Microservices,18
SQL database,18
Sql Server,18
Risk analytics,18
Mysql,18
manipulation,18
performance tuning,18
digital analytics,18
Data Migration,18
Agile development,18
Data Processing,18
Architectural design,18
UNIX,17
REST API,17
Back office,17
Application support,17
Incident management,17
statistical analysis,17
Data Validation,17
Spring Boot,17
MVC,17
Data Studio,17
Database Design,17
Open Source,17
Terraform,17
HTML5,17
Redis,17
Stock exchange,17
TensorFlow,17
Google AdWords,17
Impala,17
Qlikview,17
Budgeting,17
Investment Banking,16
AWS Redshift,16
Econometrics,16
DynamoDB,16
Hypothesis Testing,16
Taxation,16
Beam,16
User Experience,16
data manipulation,16
Subject Matter Expert,16
Google Cloud,16
Gap analysis,16
PAAS,16
documentation,16
Business Process,16
Cloud Platform,16
UX,16
Oracle SQL,16
microservices,16
DBMS,16
Marketing analytics,16
Renewable energy,16
Microstrategy,16
Computing,16
RCA,16
Product design,16
CICD,16
Recruitment,15
Aerospace,15
Process orientation,15
