Keywords,Count
SQL,29
Python,29
IT Skills,25
R,21
Big Data,17
Java,13
management,13
Cloud,12
Management,12
Data Science,9
Computer science,9
communication,8
Unix,8
Analytical,8
Analytics,8
AWS,8
Data management,7
Spark,7
Coding,7
Data analysis,7
Excel,7
Machine Learning,6
data science,6
Azure,6
Healthcare,6
DevOps,6
Data Analysis,5
Business intelligence,5
Data Analyst,5
Troubleshooting,4
Agile,4
Artificial Intelligence,4
Consulting,4
spark,4
SAP,4
Operations,4
Data Management,4
Testing,4
Machine learning,4
Project Management,3
python,3
Oracle,3
VBA,3
analytical,3
Statistics,3
excel,3
Kafka,3
Data mining,3
pyspark,3
MongoDB,3
EMR,3
Teradata,3
Research,3
Apache,3
Data Analytics,3
Hive,3
Programming,3
Advanced Excel,3
CRO,3
Informatica,3
Performance tuning,3
Project management,3
NoSQL,3
Git,3
ETL,3
MapR,2
Research Analyst,2
big data,2
Commerce,2
No - SQL,2
Business process,2
C++,2
Data modeling,2
data cleansing,2
Data Engineer,2
Product Management,2
BI,2
S3,2
Scala,2
Monitoring,2
written communication,2
Interpersonal skills,2
Apache Spark,2
tableau,2
sql,2
Bigdata,2
data analysis,2
MySQL,2
Data migration,2
Stakeholder management,2
Jenkins,2
Unix shell scripting,2
Data Processing,2
Communication Skills,2
SQL server,2
Linux,2
Data processing,2
Hadoop,2
Intern,2
Data Mining,2
data development,2
QlikView,2
Cassandra,2
OLAP,2
Pattern Recognition,2
Gitlab,2
Supply chain,2
Snowflake,2
azure,2
Manager Quality Control,2
Stored procedures,2
Finance,2
Data analytics,2
Data quality,2
SQLs,2
HBase,2
Tableau,2
SCALA,2
SDLC,2
Sqoop,2
Angular JS,1
database Architecture,1
SQL Database,1
database programming,1
NLP,1
Bioinformatics,1
EC2,1
PyS,1
Sales operations,1
Individual Contributor,1
Data engineering,1
AWS IaaS,1
verbal communication,1
Daily accounting,1
Logistic Regression,1
GCP,1
ms office,1
R Program,1
hadoop,1
Glue,1
bigdata,1
Configuration management,1
HTML,1
Supervisor,1
Sybase,1
statistical analysis,1
Azure cloud,1
cloud analytics,1
JavaScript,1
Computational Biology,1
freshers,1
Pharmacy,1
Fixed Income,1
Information technology,1
SOQL,1
Software design,1
Sql,1
OPEX,1
Data Modeling,1
PowerBI,1
Springboot Java,1
Macros,1
Open CV,1
Manager Technology,1
Pharmacovigilance,1
prep,1
data integrator,1
CI/CD Tools,1
Data Warehouse,1
item setup,1
Procurement,1
SAS,1
Bigdata Technologies,1
analyzing data,1
Data structures,1
ssis,1
handling large data,1
DBMS,1
SaaS,1
sharepoint,1
Docker,1
Middle management,1
Big Data Analytics,1
Databricks,1
Big Query,1
DataProc,1
Medicinal chemistry,1
Data Structures And Algorithm Design,1
Translation,1
SQL Server Integration Services,1
market access,1
Analytical skills,1
High Throughput computational screening,1
Sales Analytics,1
software testing,1
Data collection,1
Dashboards,1
Mechanical,1
Subject Matter Expert,1
Corporate Actions,1
Salesforce,1
SQL queries,1
Business Analyst,1
MS - SQL,1
Data Entry,1
sql development,1
Data Modelling,1
Advanced SQL,1
data engineering,1
Big Data Analysis Tool,1
BPO,1
Report Generation,1
JIRA,1
Information management,1
Transcription,1
Computer Science,1
Data Warehousing,1
Mongodb,1
Technical Reports,1
MS office,1
Data Profiling,1
Service level,1
Financial services,1
CI / CD,1
Protein Bioinformatics,1
Mutual Funds,1
Industry research,1
Metagenomics,1
Statistical Modeling,1
MapReduce,1
Druid,1
data warehouse,1
Project planning,1
data analytics,1
Multi-Omics Data Processing,1
Pig,1
Kinesis,1
ADLS,1
Ansible,1
Presto,1
clinical development,1
remediation,1
Nex Think,1
azure data bricks,1
Microsoft SQL,1
Cloud Data warehouses,1
Redshift,1
JMP,1
Athena,1
Team management,1
Pharmacology,1
XML,1
HortonWorks,1
Business Operations,1
Wellness,1
data visualization,1
Biochemistry,1
HTTP,1
Program Management,1
GPDB,1
product management,1
Spark SQL,1
Computer vision,1
written communications,1
Functional programming,1
Quality Consultant,1
ecommerce,1
SQL programming,1
primary research,1
Data Scientist,1
Business analysis,1
Perl,1
.net,1
azure data factory,1
Staffing,1
Scrum,1
AGILE methodology,1
Equity,1
Threat,1
Airflow,1
Business Analysis,1
Clinical trials,1
Buying Team,1
Molecular biology,1
Unix Shell Scripting,1
Infrastructure,1
Supervision,1
sql server,1
Data Quality,1
MSSQL,1
APIs,1
People management skills,1
gcp,1
Reconciliation,1
semiconductor,1
SQL DB,1
databases administration,1
Data Entry Operation,1
Technology solutions,1
Budgeting,1
AppDynamics,1
CloudFormation,1
advanced excel,1
Digital Marketing,1
PHP,1
statistics,1
Diagnostics,1
Streaming,1
Synapse,1
MBBS,1
Big data development,1
Linear Regression,1
Data Research Analyst,1
digital campaigns,1
Microsoft Excel,1
Data Integration,1
strategic insights,1
Anatomy,1
Statistical Programming,1
Google Analytics,1
Tensor flow,1
power bi,1
Process orientation,1
Accounting,1
Storm,1
data governance,1
Debugging,1
item data,1
Pharmaceutical,1
Fund administration,1
Derivatives,1
front end,1
Google Cloud Data Services,1
Data warehousing,1
problem solving,1
Datastage,1
Data Sciences,1
Business solutions,1
Application Lead,1
project management,1
Genetics,1
