Job_Role,Company,Location,Skills/Description,Min Experience,Max Experience
Senior Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics",3.0,6.0
Senior Data Scientist,Walmart,Bangalore/Bengaluru,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow",5.0,9.0
Applied Data Scientist / ML Senior Engineer (Python / SQL),SAP India Pvt.Ltd,Bangalore/Bengaluru,"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP",5.0,10.0
Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","python, machine learning, Data Science, data analysis, aws, azure",1.0,4.0
Data Scientist,Walmart,Bangalore/Bengaluru,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning",4.0,8.0
Principal Data Scientist,Walmart,Bangalore/Bengaluru,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning",7.0,12.0
Data Scientist,Walmart,Bangalore/Bengaluru,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics",4.0,8.0
Expert Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science",6.0,9.0
Data Scientist,Ericsson,Bangalore/Bengaluru,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence",10.0,20.0
Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Geakminds Technologies Private Limited,Chennai,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL",5.0,9.0
Senior Data Scientist - Machine Learning,Global Employees,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Any Location","Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source",7.0,12.0
Data Scientist / Senior Data Scientist,Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru","Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning",2.0,7.0
Sr Data Scientist,Target,Bangalore/Bengaluru,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum",2.0,7.0
Senior Data Scientist,Northface Consultancy Services Private Limited,Bangalore/Bengaluru(Whitefield),"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS",3.0,6.0
Senior Data Scientist,referral,Bangalore/Bengaluru,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval",2.0,4.0
Lead Python Data Scientist,Micello India Pvt Ltd,Bangalore/Bengaluru,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS",8.0,12.0
Senior Data Scientist Grade12,Flipkart,Bangalore/Bengaluru,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks",5.0,10.0
Senior Data Scientist Grade12,Flipkart,Bangalore/Bengaluru,"data science, E-commerce, Statistics",5.0,7.0
Sr. Analyst - Applied Data Scientist,Tesco,Bangalore/Bengaluru,"python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny",3.0,5.0
Data Scientist V,IGT India,Hyderabad/Secunderabad,"IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science",1.0,6.0
"Manager, Data Scientist/AI and Machine Learning Specialist",Pfizer,Chennai,"Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization",2.0,3.0
Digital-Process Manager-Data Scientist PM,eClerx,Pune,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest",4.0,6.0
Associate Data Scientist,Eli Lilly and Company,Bangalore/Bengaluru,"data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC",2.0,6.0
Senior Data Scientist,Revnomix Solutions LLP,"Mumbai, Pune, Mumbai (All Areas)","python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript",5.0,8.0
Senior Data Scientist,novo,Gurgaon/Gurugram,"Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL",4.0,8.0
Junior Data Analyst/ Scientist- Fresher Position,Sejal Consulting Hub,Remote,"Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python",0.0,3.0
