Job Title,Rating,Size,Founded,Type of ownership,Industry,Sector,Hourly,Employer provided,Lower Salary,Upper Salary,Avg Salary(K),Job Location,Age,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Min_Salary,Max_Salary,Min_Revenue,Max_Revenue
Data Scientist,3.8,501 - 1000 ,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,53,91,72.0,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,na,M,53,91,50000000,100000000
Healthcare Data Scientist,3.4,10000+ ,1984,Other Organization,Health Care Services & Hospitals,Health Care,0,0,63,112,87.5,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,63,112,2000000000,5000000000
Data Scientist,4.8,501 - 1000 ,2010,Company - Private,Security Services,Business Services,0,0,80,90,85.0,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,80,90,100000000,500000000
Data Scientist,3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,56,97,76.5,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,56,97,500000000,1000000000
Data Scientist,3.4,201 - 500 ,2000,Company - Public,Real Estate,Real Estate,0,0,71,119,95.0,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,na,na,71,119,1000000000,2000000000
Data Scientist,3.8,201 - 500 ,2005,Company - Private,Consulting,Business Services,0,0,86,142,114.0,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M,86,142,25000000,50000000
Research Scientist,3.3,10000+ ,2014,Hospital,Health Care Services & Hospitals,Health Care,0,0,38,84,61.0,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,38,84,500000000,1000000000
Data Scientist,4.6,51 - 200 ,2009,Company - Private,Internet,Information Technology,0,0,120,160,140.0,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,120,160,100000000,500000000
Data Scientist,3.5,501 - 1000 ,2011,Company - Private,Other Retail Stores,Retail,0,0,126,201,163.5,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,na,126,201,1000000000,2000000000
Data Scientist,4.1,5001 - 10000 ,1968,Company - Public,Research & Development,Business Services,0,0,64,106,85.0,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na,64,106,1000000000,2000000000
Staff Data Scientist - Technology,3.2,10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,0,0,106,172,139.0,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,M,106,172,10000000000,10000000000
"Scientist I/II, Biology",3.9,51 - 200 ,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,67,137,102.0,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,67,137,1000000,5000000
Data Scientist,4.0,501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,109,177,143.0,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,na,na,109,177,100000000,500000000
Data Scientist,3.6,1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,0,0,72,120,96.0,MI,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,na,M,72,120,500000000,1000000000
Data Scientist / Machine Learning Expert,3.8,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,86,143,114.5,MA,25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,data scientist,na,na,86,143,10000000000,10000000000
Data Scientist,3.8,5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,0,0,93,149,121.0,CA,25,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,data scientist,na,M,93,149,2000000000,5000000000
Data Scientist,3.5,1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,0,0,82,132,107.0,CA,52,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,data scientist,na,M,82,132,1000000000,2000000000
Data Scientist,4.7,201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,83,137,110.0,MA,11,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,data scientist,na,P,83,137,100000000,500000000
Data Engineer,3.5,201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,0,0,74,138,106.0,NY,36,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,M,74,138,100000000,500000000
Data Analyst,4.2,201 - 500 ,2008,Company - Private,IT Services,Information Technology,0,0,64,112,88.0,CA,13,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,analyst,na,na,64,112,50000000,100000000
Data Engineer,3.6,1 - 50 ,-1,Company - Private,-1,-1,0,0,68,129,98.5,MA,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data engineer,na,na,68,129,1000000,1000000
Scientist,3.4,5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,0,0,52,113,82.5,NJ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,52,113,2000000000,5000000000
Senior Data Scientist,4.3,1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,0,0,110,150,130.0,IL,28,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,data scientist,sr,M,110,150,2000000000,5000000000
Associate Data Analyst,3.1,5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,0,0,20,39,29.5,CO,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,na,M,20,39,2000000000,5000000000
Spectral Scientist/Engineer,4.7,501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,56,117,86.5,OH,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,56,117,100000000,500000000
Data Science Analyst,4.6,1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,0,0,41,95,68.0,AL,19,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,41,95,100000000,500000000
Data Scientist,4.3,201 - 500 ,2011,Company - Private,Consulting,Business Services,0,0,84,146,115.0,NY,10,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,data scientist,na,na,84,146,10000000,25000000
Senior Risk Data Scientist,3.8,501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,0,0,107,172,139.5,CA,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,107,172,50000000,100000000
Data Scientist in Artificial Intelligence Early Career,3.8,1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",0,0,49,85,67.0,WA,56,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,data scientist,na,M,49,85,500000000,1000000000
Data Scientist,2.8,51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,88,148,118.0,MA,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,P,88,148,1000000,5000000
Data Scientist,4.7,51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,0,0,60,99,79.5,GA,18,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,data scientist,na,na,60,99,25000000,50000000
Data Scientist - Research,3.1,201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,0,0,41,72,56.5,MA,22,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,na,na,41,72,100000000,500000000
Data Scientist,3.2,1 - 50 ,-1,Company - Private,Staffing & Outsourcing,Business Services,0,0,96,161,128.5,PA,21,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,na,na,96,161,50000000,10000000
Scientist,2.7,501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,0,0,50,102,76.0,MO,43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,P,50,102,50000000,100000000
Data Scientist SR,3.9,501 - 1000 ,2010,Company - Private,IT Services,Information Technology,0,0,85,139,112.0,VA,11,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,85,139,100000000,500000000
Research Scientist,1.9,51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,0,0,57,118,87.5,MA,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,na,M,57,118,10000000,25000000
