Rating,Company Name,Job Title,Salary (L)/Year,Location,Employment Status
3.9,Tata Consultancy Services,".NET Developer, Python",4.68,Bangalore,Full Time
3.8,Cognizant Technology Solutions,Advanced Python Developer,5.28,Hyderabad,Full Time
4.2,Contus,Applications Developer/Python Developer,1.92,Chennai,Full Time
3.9,Tata Consultancy Services,As A Python Developer,4.0,Bangalore,Full Time
3.9,Tata Consultancy Services,As A Python Developer,4.0,Hyderabad,Full Time
4.2,TechTree IT Systems,Associate Python Developer,6.0,Bangalore,Full Time
4.3,Fresher,Back-end Developer (Python Django),4.0,Hyderabad,Full Time
4.4,Xyram,Back-end Developer (Python Django),3.6,Bangalore,Full Time
3.5,Tenmiles,Backend Engineer (Python),6.0,Chennai,Full Time
3.7,HCL Technologies,"C Developer, Python Developer",5.0,Chennai,Full Time
3.3,PUJA DENTAL GROUP,C and Python Developer,2.16,Hyderabad,Full Time
3.8,VFI SLK,ETL Data engineer Python,4.0,Bangalore,Full Time
4.0,Magnum Technologies (NJ),Embedded Python Engineer,3.48,Bangalore,Full Time
4.4,Microsoft,Ethical Hacking and Python,9.36,Hyderabad,Full Time
4.4,Thorsignia,Full Stack Python Developer,12.0,Bangalore,Full Time
4.1,Fresher,Full Stack Python Developer,3.48,Bangalore,Full Time
4.1,First Student,Full Stack Python Developer,6.0,Hyderabad,Full Time
4.1,Software Developers,Full Stack Python Developer,3.36,Hyderabad,Full Time
3.6,Johnson Controls,Full Stack Python Developer,3.0,Bangalore,Full Time
4.1,TravalsIndia,Full Stack Python Developer,6.0,Hyderabad,Full Time
4.1,Ancdfan,Full Stack Python Developer,4.0,Hyderabad,Full Time
4.0,Nones,Full Stack Python Developer Contractor,0.6,Hyderabad,Contractor
4.5,Bain & Company,Good Scope As A Python Developer,12.0,Chennai,Full Time
4.5,Google,Good Scope As A Python Developer,1.0,Bangalore,Full Time
1.0,The Critical Slide Society,Good Scope As A Python Developer - Contractor,5.0,Bangalore,Contractor
3.8,Cognizant Technology Solutions,"Hadoop, Python, Jsp Servlet, C++ Developer - Intern",12.0,Chennai,Intern
4.0,Rehlat,Jr Python Developer,4.0,Hyderabad,Full Time
2.0,Innoovatum,Jr Python Developer,2.0,Bangalore,Full Time
4.0,The Sparks Foundation,Junior Developer - SQL/Python/Java/SAP ABAP,4.0,Hyderabad,Full Time
3.7,Qualitas Global Services,Junior Python Developer,5.0,Bangalore,Full Time
3.8,"City of Blue Mound, KS",Junior Python Developer,2.4,Bangalore,Full Time
4.1,Accenture,Junior Python Developer,3.24,Chennai,Full Time
3.9,arshasdsjddbsj,Junior Python Developer,2.0,Chennai,Full Time
4.1,Fresher,Junior Python Developer,3.0,Chennai,Full Time
3.9,Tata Consultancy Services,Junior Python Developer,4.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Junior Python Developer,4.0,Hyderabad,Full Time
4.1,Fresher,Junior Python Developer,2.28,Hyderabad,Full Time
4.6,Cognism,Junior Python Developer,5.0,Hyderabad,Full Time
3.4,TKR College of Engineering & Technology,Junior Python Developer,7.0,Hyderabad,Full Time
3.0,A Plus Topper,Junior Python Developer,1.8,Hyderabad,Full Time
3.3,Knowx Innovations,Junior Python Developer,5.16,Bangalore,Full Time
3.6,HCL,Junior Python Developer,1.68,Hyderabad,Full Time
3.4,Cyient,Junior Python Developer,3.0,Hyderabad,Full Time
4.3,Fresher,Junior Python Developer,2.0,Hyderabad,Full Time
3.9,Fresher Zones,Junior Python Developer,3.6,Hyderabad,Full Time
4.3,Vidya Jyothi Institute of Technology,Junior Python Developer,3.96,Hyderabad,Full Time
3.3,VectraMind,Junior Python Developer,5.0,Hyderabad,Full Time
4.2,InfoLogitech,Junior Python Developer,4.0,Hyderabad,Full Time
4.1,First Student,Junior Python Developer,4.0,Hyderabad,Full Time
4.5,Google,Junior Python Developer,5.76,Hyderabad,Full Time
4.1,NorthSouth GIS,Junior Python Developer,3.12,Hyderabad,Full Time
4.0,InventaTeq,Junior Python Developer,2.52,Bangalore,Full Time
4.1,The First Years,Junior Python Developer,3.0,Hyderabad,Full Time
4.0,Anawall Labs,Junior Python Developer,3.48,Bangalore,Full Time
3.7,Virtusa,Junior Python Developer,3.48,Chennai,Full Time
4.0,Freshers.com,Junior Python Developer,1.0,Bangalore,Full Time
4.0,DONE by NONE,Junior Python Developer,1.92,Chennai,Full Time
3.6,HCL,Junior Python Developer,1.44,Chennai,Full Time
3.8,Capgemini,Junior Python Developer,3.0,Bangalore,Full Time
3.7,Neeyamo Enterprise Solutions,Junior Python Developer,2.0,Chennai,Full Time
4.0,Colan Infotech,Junior Python Developer,1.68,Chennai,Full Time
3.4,ELK Education Consultants,Junior Python Developer,3.0,Chennai,Full Time
4.0,Signals & Systems (India),Junior Python Developer,1.56,Chennai,Full Time
4.2,T-Machine Software Solutions,Junior Python Developer,2.0,Chennai,Full Time
4.0,DONE by NONE,Junior Python Developer,3.0,Bangalore,Full Time
4.0,Fresherworld.com,Junior Python Developer,2.04,Chennai,Full Time
4.1,Fresher,Junior Python Developer,2.0,Bangalore,Full Time
4.3,Fresher,Junior Python Developer,5.0,Bangalore,Full Time
4.3,Fresher,Junior Python Developer,4.0,Bangalore,Full Time
4.1,Other,Junior Python Developer,2.64,Bangalore,Full Time
3.9,Fresher Zones,Junior Python Developer,3.0,Bangalore,Full Time
3.2,Vijaya Management Services,Junior Python Developer,2.0,Bangalore,Full Time
4.5,Easybi Solutions,Junior Python Developer,5.0,Bangalore,Full Time
3.9,DigiAppStudio,Junior Python Developer,2.28,Chennai,Full Time
4.5,Alethea Communications Technologies,Junior Python Developer,3.0,Bangalore,Full Time
4.0,Dinesh M,Junior Python Developer,2.0,Bangalore,Full Time
4.0,sarangapani,Junior Python Developer,2.88,Bangalore,Full Time
3.9,Citi,Junior Python Developer - Intern,2.64,Bangalore,Intern
4.1,Tutedude,Junior Python Developer - Intern,1.2,Hyderabad,Intern
4.5,Google,Junior Python Developer - Intern,10.0,Hyderabad,Intern
4.5,LinkedIn,Junior Python Developer Contractor,6.0,Bangalore,Contractor
2.6,Yagna Technologies,Junior Python/Django Developer,1.44,Hyderabad,Full Time
3.8,Wipro,Junior Python/Django Developer,2.88,Bangalore,Full Time
3.0,A Plus Topper,Junior Python/Django Developer,2.0,Hyderabad,Full Time
4.8,Python Software Foundation,Junior Python/Django Developer,1.0,Hyderabad,Full Time
4.2,null (India),Junior Python/Django Developer,2.0,Hyderabad,Full Time
4.1,Fresher,Junior Python/Django Developer,2.28,Chennai,Full Time
3.7,HCL Technologies,Lead Engineer - Python,2.04,Chennai,Full Time
3.2,Zymergen,Lead Python Developer,16.0,Hyderabad,Full Time
4.7,ND Global Solutions,Lead Python Developer,12.0,Bangalore,Full Time
5.0,Arann Cyber tec,Lead Python Developer (Data Science),4.8,Chennai,Full Time
3.9,Tata Consultancy Services,ML Developer Python NLP,5.0,Chennai,Full Time
1.0,O’Toole Law Group,Middle Python Developer,5.0,Bangalore,Full Time
3.8,Wipro,Python,2.0,Chennai,Full Time
3.6,NBK,Python,2.0,Chennai,Full Time
3.8,LTI,Python,8.0,Bangalore,Full Time
3.5,GVS Group,Python,15.0,Hyderabad,Full Time
3.9,Teleperfomance,Python,2.52,Bangalore,Full Time
4.1,Fresher,Python,3.0,Bangalore,Full Time
3.3,Infosys,Python,5.64,Hyderabad,Full Time
3.9,Oracle,Python,4.0,Bangalore,Full Time
4.0,Nones,Python,8.32128,Bangalore,Full Time
4.1,First Student,Python,3.36,Bangalore,Full Time
4.1,NEDURI SRINIVAS,Python,3.0,Hyderabad,Full Time
3.4,Ahana Systems and Solutions,Python (AI/Ml) Developer,4.0,Bangalore,Full Time
3.8,Capgemini,Python (AI/Ml) Developer,10.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Python (AI/Ml) Developer,7.0,Bangalore,Full Time
4.1,Siemens,Python (AI/Ml) Developer,8.04,Chennai,Full Time
4.4,doodleblue Innovations,Python - Internee,4.0,Chennai,Intern
3.7,JNTU College,Python - Internee - Intern,2.0,Hyderabad,Intern
3.7,Velocix Solutions,Python - Internee - Intern,2.88,Chennai,Intern
3.4,HPA Spaces,Python AI Developer,2.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Python AI Developer,7.0,Bangalore,Full Time
3.0,Lincode,Python AI Developer - Intern,0.6,Bangalore,Intern
3.5,IDP Connect,Python AWS Developer,5.0,Chennai,Full Time
3.8,Wipro Technologies,Python AWS Developer,10.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Python AWS Developer,1.8,Chennai,Full Time
3.8,LTI,Python AWS Developer,2.04,Bangalore,Full Time
4.0,Deloitte,Python AWS Developer,7.0,Hyderabad,Full Time
3.7,Ocwen Financial,Python Analyst,5.0,Bangalore,Full Time
3.7,Mphasis,Python Automation - Intern,10.0,Bangalore,Intern
3.7,Global Edge Software,Python Automation Engineer,6.0,Bangalore,Full Time
4.1,Sony,Python Automation Engineer,13.0,Bangalore,Full Time
3.9,Integra Micro Software Services (P),Python Automation Engineer,5.76,Bangalore,Full Time
4.0,GlobalLogic,Python Automation Engineer,14.0,Bangalore,Full Time
3.7,Larsen & Toubro,Python Automation Engineer,2.16,Bangalore,Full Time
3.8,Capgemini,Python Automation Engineer,3.0,Bangalore,Full Time
3.8,LTI,Python Automation Engineer,4.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Python Automation Engineer,2.04,Bangalore,Full Time
4.8,Kartel Technosoft,Python Automation Engineer,2.16,Bangalore,Full Time
3.8,Wipro,Python Automation Engineer,14.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Python Automation Engineer,6.0,Hyderabad,Full Time
3.7,HCL Technologies,Python Automation Engineer,6.0,Chennai,Full Time
5.0,Jet Software Solutions,Python Automation Engineer,4.0,Hyderabad,Full Time
4.0,Mindtree,Python Automation Engineer,6.0,Hyderabad,Full Time
3.8,Terralogic,Python Automation Engineer,8.0,Bangalore,Full Time
3.8,Cognizant Technology Solutions,Python Automation Engineer,5.0,Chennai,Full Time
3.6,Tech Mahindra,Python Automation Engineer,6.0,Bangalore,Full Time
3.7,Larsen & Toubro,Python Automation Engineer,8.0,Chennai,Full Time
4.1,TEKsystems,Python Automation Engineer - Contractor,11.0,Bangalore,Contractor
3.9,CitiusTech,Python Automation QA,11.4,Bangalore,Full Time
3.7,HCL Technologies,Python Automation QA,6.0,Bangalore,Full Time
4.3,Dell Technologies,Python Automation QA,12.0,Bangalore,Full Time
3.9,Tata Consultancy Services,Python Automation QA - Contractor,3.0,Bangalore,Contractor
4.1,Ericsson IT Solutions & Services,Python Automation Tester,7.0,Chennai,Full Time
4.0,Zebra Technologies,Python Automation Tester - Contractor,8.0,Bangalore,Contractor
4.1,660000,Python Backend Developer,7.0,Bangalore,Full Time
4.0,660000,Python Backend Developer,7.0,Bangalore,Full Time
3.7,HCL Technologies,Python Bigdata Engineer,16.0,Hyderabad,Full Time
4.5,IIT Madras,Python Content Developer,7.32,Chennai,Full Time
4.5,IIT Madras,Python Content Development In IIT Madras Online Degree,4.56,Chennai,Full Time
4.0,Evalueserve,Python Data scientist,15.0,Bangalore,Full Time
4.2,Attify,Python Developer,6.0,Bangalore,Full Time
4.8,Team 4 Progress Technologies,Python Developer,1.8,Bangalore,Full Time
3.6,JIM,Python Developer,5.0,Bangalore,Full Time
3.6,Logipro Software,Python Developer,7.68,Bangalore,Full Time
2.9,Juntran Technologies,Python Developer,5.28,Bangalore,Full Time
